,DS,Y,Search,streaming,clickstream
1835,2021-01-09,4.0,0.0,0.0,0.0
1836,2021-01-10,7.0,0.0,1.0,0.0
1837,2021-01-11,13.0,0.0,1.0,0.0
1838,2021-01-12,8.0,0.0,0.0,0.0
1839,2021-01-13,12.0,0.0,1.0,0.0
1840,2021-01-14,21.0,0.0,1.0,0.0
1841,2021-01-15,2.0,0.0,1.0,0.0
1842,2021-01-16,10.0,0.0,1.0,0.0
1843,2021-01-17,22.0,0.0,1.0,0.0
1844,2021-01-18,12.0,5.0,1.0,0.0
1845,2021-01-19,4.0,0.0,1.0,0.0
1846,2021-01-20,15.0,11.0,1.0,0.0
1847,2021-01-21,7.0,0.0,0.0,0.0
1848,2021-01-22,17.0,14.0,1.0,0.0
1849,2021-01-23,14.0,1.0,1.0,0.0
1850,2021-01-24,5.0,0.0,0.0,0.0
1851,2021-01-25,7.0,0.0,1.0,0.0
1852,2021-01-26,3.0,0.0,0.0,0.0
1853,2021-01-27,6.0,0.0,1.0,0.0
1854,2021-01-28,1.0,0.0,1.0,0.0
1855,2021-01-29,0.0,0.0,0.0,0.0
1856,2021-01-30,4.0,0.0,1.0,0.0
1857,2021-01-31,5.0,0.0,1.0,0.0
1858,2021-02-01,11.0,0.0,1.0,0.0
1859,2021-02-02,7.0,0.0,1.0,0.0
1860,2021-02-03,8.0,4.0,1.0,0.0
1861,2021-02-04,3.0,0.0,0.0,0.0
1862,2021-02-05,21.0,0.0,1.0,0.0
1863,2021-02-06,6.0,0.0,0.0,0.0
1864,2021-02-07,7.0,0.0,1.0,0.0
1865,2021-02-08,16.0,2.0,1.0,0.0
1866,2021-02-09,40.0,2.0,1.0,0.0
1867,2021-02-10,19.0,2.0,1.0,0.0
1868,2021-02-11,24.0,5.0,1.0,0.0
1869,2021-02-12,23.0,0.0,0.0,0.0
1870,2021-02-13,21.0,2.0,0.0,0.0
1871,2021-02-14,13.0,1.0,1.0,0.0
1872,2021-02-15,14.0,0.0,1.0,0.0
1873,2021-02-16,24.0,1.0,1.0,0.0
1874,2021-02-17,22.0,7.0,1.0,0.0
1875,2021-02-18,4.0,0.0,0.0,0.0
1876,2021-02-19,12.0,0.0,0.0,0.0
1877,2021-02-20,2.0,0.0,1.0,0.0
1878,2021-02-21,13.0,0.0,0.0,0.0
1879,2021-02-22,9.0,0.0,1.0,0.0
1880,2021-02-23,11.0,3.0,1.0,0.0
1881,2021-02-24,4.0,1.0,0.0,0.0
1882,2021-02-25,4.0,0.0,0.0,0.0
1883,2021-02-26,4.0,0.0,1.0,0.0
1884,2021-02-27,9.0,0.0,1.0,0.0
1885,2021-02-28,9.0,0.0,1.0,0.0
1886,2021-03-01,17.0,0.0,1.0,0.0
1887,2021-03-02,17.0,0.0,1.0,0.0
1888,2021-03-03,19.0,4.0,1.0,0.0
1889,2021-03-04,7.0,0.0,0.0,0.0
1890,2021-03-05,12.0,0.0,0.0,0.0
1891,2021-03-06,8.0,0.0,0.0,0.0
1892,2021-03-07,25.0,3.0,0.0,0.0
1893,2021-03-08,9.0,0.0,1.0,0.0
1894,2021-03-09,22.0,8.0,0.0,0.0
1895,2021-03-10,15.0,0.0,0.0,0.0
1896,2021-03-11,25.0,0.0,0.0,0.0
1897,2021-03-12,14.0,0.0,0.0,0.0
1898,2021-03-13,13.0,2.0,0.0,0.0
1899,2021-03-14,17.0,5.0,0.0,0.0
1900,2021-03-15,23.0,0.0,1.0,0.0
1901,2021-03-16,10.0,0.0,1.0,0.0
1902,2021-03-17,36.0,3.0,0.0,0.0
1903,2021-03-18,26.0,1.0,0.0,0.0
1904,2021-03-19,33.0,7.0,0.0,0.0
1905,2021-03-20,11.0,0.0,0.0,0.0
1906,2021-03-21,12.0,0.0,1.0,0.0
1907,2021-03-22,22.0,0.0,1.0,0.0
1908,2021-03-23,24.0,2.0,1.0,0.0
1909,2021-03-24,10.0,0.0,1.0,0.0
1910,2021-03-25,28.0,0.0,1.0,0.0
1911,2021-03-26,8.0,2.0,0.0,0.0
1912,2021-03-27,20.0,14.0,0.0,0.0
1913,2021-03-28,14.0,6.0,1.0,0.0
1914,2021-03-29,12.0,0.0,1.0,0.0
1915,2021-03-30,12.0,0.0,1.0,0.0
1916,2021-03-31,13.0,10.0,1.0,0.0
1917,2021-04-01,3.0,0.0,1.0,0.0
1918,2021-04-02,6.0,4.0,1.0,0.0
1919,2021-04-03,10.0,13.0,1.0,0.0
1920,2021-04-04,1.0,0.0,1.0,0.0
1921,2021-04-05,6.0,0.0,1.0,0.0
1922,2021-04-06,2.0,0.0,1.0,0.0
1923,2021-04-07,1.0,0.0,1.0,0.0
1924,2021-04-08,0.0,0.0,0.0,0.0
1925,2021-04-09,8.0,6.0,1.0,0.0
1926,2021-04-10,19.0,7.0,0.0,0.0
1927,2021-04-11,4.0,0.0,0.0,0.0
1928,2021-04-12,2.0,0.0,0.0,0.0
1929,2021-04-13,27.0,0.0,0.0,0.0
1930,2021-04-14,21.0,2.0,0.0,0.0
1931,2021-04-15,19.0,2.0,1.0,0.0
1932,2021-04-16,19.0,0.0,1.0,0.0
1933,2021-04-17,15.0,0.0,1.0,0.0
1934,2021-04-18,5.0,0.0,1.0,0.0
1935,2021-04-19,11.0,3.0,1.0,0.0
1936,2021-04-20,18.0,0.0,1.0,0.0
1937,2021-04-21,18.0,1.0,1.0,0.0
1938,2021-04-22,18.0,0.0,0.0,0.0
1939,2021-04-23,20.0,1.0,1.0,0.0
1940,2021-04-24,29.0,0.0,1.0,0.0
1941,2021-04-25,16.0,0.0,1.0,0.0
1942,2021-04-26,16.0,6.0,0.0,0.0
1943,2021-04-27,12.0,0.0,1.0,0.0
1944,2021-04-28,26.0,0.0,0.0,0.0
1945,2021-04-29,30.0,0.0,1.0,0.0
1946,2021-04-30,9.0,0.0,0.0,0.0
1947,2021-05-01,24.0,8.0,0.0,0.0
1948,2021-05-02,32.0,19.0,0.0,0.0
1949,2021-05-03,34.0,6.0,1.0,0.0
1950,2021-05-04,27.0,0.0,1.0,0.0
1951,2021-05-05,26.0,0.0,1.0,0.0
1952,2021-05-06,34.0,20.0,0.0,0.0
1953,2021-05-07,49.0,66.0,1.0,0.0
1954,2021-05-08,28.0,13.0,1.0,0.0
1955,2021-05-09,17.0,2.0,0.0,0.0
1956,2021-05-10,18.0,42.0,1.0,0.0
1957,2021-05-11,22.0,44.0,0.0,0.0
1958,2021-05-12,12.0,0.0,1.0,0.0
1959,2021-05-13,11.0,11.0,1.0,0.0
1960,2021-05-14,13.0,20.0,1.0,0.0
1961,2021-05-15,12.0,0.0,0.0,0.0
1962,2021-05-16,21.0,18.0,1.0,0.0
1963,2021-05-17,42.0,3.0,1.0,0.0
1964,2021-05-18,20.0,17.0,0.0,0.0
1965,2021-05-19,20.0,12.0,1.0,0.0
1966,2021-05-20,3.0,0.0,1.0,0.0
1967,2021-05-21,20.0,8.0,1.0,0.0
1968,2021-05-22,6.0,0.0,0.0,0.0
1969,2021-05-23,9.0,9.0,0.0,0.0
1970,2021-05-24,15.0,0.0,0.0,0.0
1971,2021-05-25,23.0,14.0,0.0,0.0
1972,2021-05-26,20.0,15.0,1.0,0.0
1973,2021-05-27,16.0,1.0,1.0,0.0
1974,2021-05-28,20.0,6.0,0.0,0.0
1975,2021-05-29,5.0,0.0,0.0,0.0
1976,2021-05-30,12.0,0.0,0.0,0.0
1977,2021-05-31,39.0,0.0,0.0,0.0
1978,2021-06-01,17.0,1.0,1.0,0.0
1979,2021-06-02,20.0,0.0,1.0,0.0
1980,2021-06-03,10.0,1.0,1.0,0.0
1981,2021-06-04,17.0,0.0,0.0,0.0
1982,2021-06-05,13.0,1.0,0.0,0.0
1983,2021-06-06,7.0,2.0,1.0,0.0
1984,2021-06-07,12.0,0.0,1.0,0.0
1985,2021-06-08,10.0,0.0,1.0,0.0
1986,2021-06-09,9.0,0.0,1.0,0.0
1987,2021-06-10,6.0,2.0,1.0,0.0
1988,2021-06-11,2.0,0.0,1.0,0.0
1989,2021-06-12,5.0,0.0,1.0,0.0
1990,2021-06-13,20.0,7.0,1.0,0.0
1991,2021-06-14,8.0,1.0,0.0,0.0
1992,2021-06-15,28.0,4.0,0.0,0.0
1993,2021-06-16,32.0,34.0,1.0,0.0
1994,2021-06-17,11.0,8.0,0.0,0.0
1995,2021-06-18,11.0,2.0,0.0,0.0
