,DS,Y
982,2018-09-09,1.0
983,2018-09-10,10.0
984,2018-09-11,4.0
985,2018-09-12,7.0
986,2018-09-13,2.0
987,2018-09-14,9.0
988,2018-09-15,2.0
989,2018-09-16,9.0
990,2018-09-17,11.0
991,2018-09-18,11.0
992,2018-09-19,15.0
993,2018-09-20,11.0
994,2018-09-21,4.0
995,2018-09-22,0.0
996,2018-09-23,5.0
997,2018-09-24,8.0
998,2018-09-25,12.0
999,2018-09-26,9.0
1000,2018-09-27,10.0
1001,2018-09-28,4.0
1002,2018-09-29,6.0
1003,2018-09-30,9.0
1004,2018-10-01,12.0
1005,2018-10-02,12.0
1006,2018-10-03,7.0
1007,2018-10-04,8.0
1008,2018-10-05,12.0
1009,2018-10-06,10.0
1010,2018-10-07,8.0
1011,2018-10-08,1.0
1012,2018-10-09,15.0
1013,2018-10-10,10.0
1014,2018-10-11,10.0
1015,2018-10-12,8.0
1016,2018-10-13,12.0
1017,2018-10-14,16.0
1018,2018-10-15,14.0
1019,2018-10-16,19.0
1020,2018-10-17,14.0
1021,2018-10-18,6.0
1022,2018-10-19,2.0
1023,2018-10-20,2.0
1024,2018-10-21,10.0
1025,2018-10-22,12.0
1026,2018-10-23,33.0
1027,2018-10-24,21.0
1028,2018-10-25,4.0
1029,2018-10-26,14.0
1030,2018-10-27,0.0
1031,2018-10-28,9.0
1032,2018-10-29,6.0
1033,2018-10-30,2.0
1034,2018-10-31,21.0
1035,2018-11-01,7.0
1036,2018-11-02,8.0
1037,2018-11-03,16.0
1038,2018-11-04,19.0
1039,2018-11-05,11.0
1040,2018-11-06,15.0
1041,2018-11-07,15.0
1042,2018-11-08,17.0
1043,2018-11-09,11.0
1044,2018-11-10,5.0
1045,2018-11-11,17.0
1046,2018-11-12,18.0
1047,2018-11-13,16.0
1048,2018-11-14,17.0
1049,2018-11-15,13.0
1050,2018-11-16,26.0
1051,2018-11-17,22.0
1052,2018-11-18,15.0
1053,2018-11-19,8.0
1054,2018-11-20,98.0
1055,2018-11-21,7.0
1056,2018-11-22,11.0
1057,2018-11-23,5.0
1058,2018-11-24,10.0
1059,2018-11-25,19.0
1060,2018-11-26,9.0
1061,2018-11-27,5.0
1062,2018-11-28,16.0
1063,2018-11-29,6.0
1064,2018-11-30,5.0
1065,2018-12-01,7.0
1066,2018-12-02,34.0
1067,2018-12-03,33.0
